,code,name
0,5930,삼성전자
1,660,SK하이닉스
2,51910,LG화학
3,5380,현대차
4,207940,삼성바이오로직스
5,35420,NAVER
6,6400,삼성SDI
7,68270,셀트리온
8,35720,카카오
9,270,기아차
10,12330,현대모비스
11,28260,삼성물산
12,96770,SK이노베이션
13,51900,LG생활건강
14,66570,LG전자
15,5490,POSCO
16,34730,SK
17,36570,엔씨소프트
18,17670,SK텔레콤
19,105560,KB금융
20,3550,LG
21,55550,신한지주
22,15760,한국전력
23,32830,삼성생명
24,18260,삼성에스디에스
25,9150,삼성전기
26,90430,아모레퍼시픽
27,326030,SK바이오팜
28,86790,하나금융지주
29,33780,KT&G;
30,251270,넷마블
31,11170,롯데케미칼
32,18880,한온시스템
33,9830,한화솔루션
34,810,삼성화재
35,10950,S-Oil
36,10130,고려아연
37,9540,한국조선해양
38,3670,포스코케미칼
39,34220,LG디스플레이
40,316140,우리금융지주
41,86280,현대글로비스
42,97950,CJ제일제당
43,6800,미래에셋대우
44,24110,기업은행
45,30200,KT
46,352820,빅히트
47,4020,현대제철
48,3490,대한항공
49,21240,코웨이
50,35250,강원랜드
51,32640,LG유플러스
52,19170,신풍제약
53,161390,한국타이어앤테크놀로지
54,2790,아모레G
55,720,현대건설
56,11780,금호석유
57,34020,두산중공업
58,8930,한미사이언스
59,6280,녹십자
60,71050,한국금융지주
61,11200,HMM
62,100,유한양행
63,139480,이마트
64,271560,오리온
65,285130,SK케미칼
66,11070,LG이노텍
67,180640,한진칼
68,10140,삼성중공업
69,267250,현대중공업지주
70,11790,SKC
71,128940,한미약품
72,29780,삼성카드
73,120,CJ대한통운
74,16360,삼성증권
75,4990,롯데지주
76,78930,GS
77,39490,키움증권
78,6360,GS건설
79,336260,두산퓨얼셀
80,204320,만도
81,3410,쌍용양회
82,12750,에스원
83,8770,호텔신라
84,5940,NH투자증권
85,23530,롯데쇼핑
86,36460,한국가스공사
87,26960,동서
88,241560,두산밥캣
89,1040,CJ
90,3090,대웅
91,112610,씨에스윈드
92,5830,DB손해보험
93,42660,대우조선해양
94,47810,한국항공우주
95,210,대림산업
96,81660,휠라홀딩스
97,990,DB하이텍
98,20150,일진머티리얼즈
99,7070,GS리테일
