,Title,Label
0,버거킹 바삭한 신메뉴 3000원도 안되는 가격,1
1,버거킹 가을 맞이 와퍼주니어 1900원 판매,0
2,귀엽거나 오싹하거나’할로윈데이 겨냥한 이색 식음료 출시,1
3,버거킹 몬스터X의 할로윈 에디션 스크림몬스터X 출시,1
4,햄버거 브랜드 버거킹 치킨 사이드 신메뉴 바삭킹 선보여,1
5,영국 버거킹 시각장애인에게 메뉴 읽기 거부 논란,-1
6,버거킹 핼러윈 기념 한정판 스크림몬스터X’ 출시스크림 리액션하면 경,1
7,단독 지금도 맥도날드서 벌레·이물질 줄줄줄반년새 21건 포스팅 충격,-1
8,버거킹 프리미엄 버거 비프칠리통모짜 2종 세트업 쿠폰증정,0
9,버거킹 스크림몬스터X 오퀴즈 1000만원 이벤트 정답은,0
10,신상품라운지버거킹 할로윈데이 스크림몬스터X 한정 출시,1
11,버거킹 치킨버거 3종 단품 구매 시 세트업 프로모션 실시,0
12,오퀴즈 천만원이벤트 버거킹 스크림몬스터X 출시 초성퀴즈 핼러윈 한정 판매,1
13,엄지족 잡아라패스트푸드도 배달 경쟁 가세,0
14,버거킹 스크림몬스터X OK캐쉬백 O퀴즈 정답은,0
15,버거킹스크림몬스터x 출시 기념 오퀴즈 이벤트초성퀴즈 문제와 정답은,1
16,일본제품 불매운동 지속 일본 버거킹 연속 적자행진롯데 日 버거킹 9년만에,-1
17,가성비 넘치는 한끼” 버거킹 가을 맞이 와퍼주니어 1900원 판매,0
18,오싹 비주얼에 눈길’핼러윈 겨냥 식음료 봇물,0
19,버거킹 스크림몬스터X  오퀴즈 천만원이벤트 정답은,0
20,맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
21,4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
22,매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
23,버거킹 비프칠리통모짜와퍼 2종 출시,1
24,롯데 인수 9년만에 日버거킹 사업 접었다,0
25,버거킹 드로잉의 달인’ SNS 이벤트 진행,0
26,英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
27,오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
28,버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
29,통모짜 시리즈 세 번째 버거킹 비프칠리통모짜와퍼 내놔,0
30,견다희의 Check EAT 맥도날드 맥윙 外,0
31,버거킹 영국에서 플라스틱 장난감 지급 중단,-1
32,버거킹 올데이킹 리뉴얼 신메뉴 베이컨토마토비프버거’ 출시,1
33,버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
34,버거킹 프리미엄 와퍼주니어 3종’ 할인 행사 실시,0
35,버거킹 통모짜 3탄 비프칠리통모짜와퍼 2종 출시,1
36,롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
37,3대 버거 브랜드 불사조 메뉴는 무엇,0
38,오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
39,비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
40,버거킹 2019 KSPBI 패스트푸드 부문 1위,1
41,버거킹 카톡 플친 대상 치킨버거 3종 세트업 쿠폰증정 프로모션 실시,0
42,버거킹 일주일간 버거 3종 50 할인 진행,0
43,오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
44,MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
45,버거킹 매콤바삭 치킨윙 신메뉴 바삭킹 출시,1
46,어떤 소스 고를까직접 먹어본 이들이 남긴 버거킹 바삭킹 최고 조합은,1
47,LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
48,버거킹 매콤 바삭 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
49,버거킹 인기 스페셜 버거 3종 50 할인,1
50,버거킹크라운 캠페인 감사 릴레이 이벤트 참여하면 다양한 경품이 팡팡,0
51,버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
52,버거킹 올데이킹 리뉴얼 및 베이컨토마토비프버거 선봬,0
53,신상품 동원FB 두툼 치즈 배스킨라빈스 허니레몬티 버거킹 바삭킹,1
54,롯데 일 버거킹 인수 9년만에 100억에 매각,-1
55,버거킹 와퍼주니어 3종단품 2900원 판매,0
56,버거킹 2019년 프리미엄브랜드지수 패스트푸드점 부문 1위,1
57,버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
58,비프칠리 소스와 통모짜렐라 치즈의 만남버거킹 비프칠리통모짜와퍼 출시,1
59,영국 버거킹·맥도날드 플라스틱 장난감 제공 중단,-1
60,포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
61,버거킹 통모짜와퍼 100만 소비자 울렸다100 이탈리아산 치즈는 왜 사라,0
62,롯데 100억원에 앓던 이 버거킹재팬 매각,-1
63,오늘12일 출시한 버거킹 핫도그 실제 후기 사진,1
64,버거킹x쟌슨빌 시즌 한정 스페셜 콜라보 진행,0
65,버거킹 16일부터 프리미어 와퍼 3종 3900원 판매 프로모션,0
66,버거킹 쟌슨빌과 역대급 신메뉴 프리미엄 핫도그 2종 한정 출시,1
67,버거킹 KSA 주관 프리미엄브랜드지수 시상식 패스트푸드점 부문 1위 수상,1
68,獨 버거킹 비트코인BTC 결제수단으로 추가,0
69,버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
70,바르셀로나 노동위 버거킹 男넥타이·女리본 규정 성차별적,0
71,버거킹 쟌슨빌과 핫도그 2종 출시 정통 아메리칸 맛을 느껴보자’,1
72,버거킹 바삭킹 토스 행운퀴즈 정답은,0
73,버거킹통모짜 시리즈’출시 3주만에 100만 개 판매 돌파,1
74,버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
75,버거킹 신제품 트러플통모짜와퍼 선봬,1
76,버거킹 올데이킹 론칭 9개월간 누적 판매 1000만개,0
77,버거킹 올데이킹 누적 판매량 1000만개 돌파,1
78,버거킹X쟌슨빌 시즌 한정 핫도그 출시,1
79,맥도날드도 식물성 고기 햄버거 시험판매 돌입”,0
80,버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만개 돌파,1
81,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
82,버거킹 쟌슨빌 손잡고 신메뉴 프리미엄 핫도그 2종 한정 출시,1
83,버거킹 감사 릴레이 이벤트 진행,0
84,유통 신템’8월 3주 버거킹 쟌슨빌과 손잡고 핫도그 신메뉴 2종 한정 출,1
85,사딸라로 1천만개 오케이” 버거킹 올데이킹 누적 판매량 1천만개 돌파,1
86,롯데 日 버거킹 매각 9년간 매년 100억 적자”,-1
87,버거킹·쟌슨빌 콜라보 핫도그 2종 출시 가격 2900원·3500원,1
88,성수기 8월 맞아 버거킹 등 국내 대표 햄버거 프랜차이즈 다양한 이벤트 선보,0
89,버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
90,버거킹 종이왕관 향수 되살린 버거킹크라운 캠페인 릴레이 이벤트,0
91,버거킹 트러플 크림소스의 트러플통모짜와퍼’ 출시,1
92,버거킹 사딸라’ 통했다올데이킹 누적 판매량 1000만개 돌파,1
93,버거킹 사딸라 통했다올데이킹 누적 판매량 1천만 개 돌파,1
94,버거킹 브랜드 평가제도 2019 프리미엄브랜드지수 패스트푸드점 1위,1
95,버거킹쟌슨빌 컬래버 핫도그 메뉴 2종 한정 출시,1
96,버거킹과 쟌슨빌의 역대급 콜라보 신메뉴 프리미엄 핫도그 2종 한정 출시,1
97,버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트,0
98,버거킹 프리미엄 와퍼 3종 할인 판매 이벤트,0
99,4달러도 안되는 버거버거킹 프리미엄 와퍼 3종 3900원 판매,0
100,버거킹 스크림몬스터X 오퀴즈 천만원이벤트 퀴즈 등장정답은 1031,0
101,버거킹 1900원 와퍼주니어 들고 가벼운 가을 나들이 떠나세요,0
102,오퀴즈 천만원이벤트 버거킹스크림몬스터X 출시 오전 9시 초성퀴즈 정답은,1
103,버거킹 스크림몬스터X  오퀴즈 천만원이벤트 정답은,0
104,버거킹스크림몬스터 오퀴즈 ㅎㅇㅌㅂ 초성 정답은,0
105,버거킹스크림몬스터X출시 오퀴즈 천만원 퀴즈 정답은,1
106,맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
107,4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
108,매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
109,버거킹 비프칠리통모짜와퍼 2종 출시,1
110,버거킹스크림몬스터 오퀴즈 ㅎㅇㅌㅂ 초성 정답은,0
111,버거킹스크림몬스터X출시 오퀴즈 천만원 퀴즈 정답은,1
112,버거킹 스크림몬스터X 오퀴즈 천만원이벤트 오전 9시 ㅎㅇㅌㅂ 초성퀴즈,0
113,맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
114,버거킹스크림몬스터X 오퀴즈 천만원이벤트 오전 10시 퀴즈 정답은,0
115,버거킹 와퍼주니어 1900원 가을 나들이는 버거킹과 함께,0
116,4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
117,매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
118,버거킹 비프칠리통모짜와퍼 2종 출시,1
119,롯데 인수 9년만에 日버거킹 사업 접었다,0
120,버거킹 스크림몬스터x 알뜰족들 발빠르게 움직여 어떻게 해야 이득 얻을 수,0
121,버거킹 가을 맞이 와퍼주니어 판매,0
122,4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
123,매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
124,버거킹 비프칠리통모짜와퍼 2종 출시,1
125,버거킹 스크림 몬스터X 오퀴즈 천만원이벤트 오전 11시 문제 OO월 OO일까지,-1
126,롯데 인수 9년만에 日버거킹 사업 접었다,0
127,버거킹 드로잉의 달인’ SNS 이벤트 진행,0
128,英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
129,오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
130,버거킹스크림몬스터x 사먹을만한 가격일까 자세히 살펴보니,0
131,버거킹 통모짜 3탄 비프칠리통모짜와퍼 출시,1
132,버거킹 스크림 몬스터X 오퀴즈 천만원이벤트 오전 10시 문제 디아블로 소스,-1
133,롯데 인수 9년만에 日버거킹 사업 접었다,0
134,버거킹 드로잉의 달인’ SNS 이벤트 진행,0
135,英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
136,오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
137,버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
138,버거킹 가을 맞아 와퍼주니어 1900원’ 할인 이벤트,0
139,버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
140,英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
141,롯데 日 버거킹 인수 9년만에 매각,-1
142,금손 버거매니아 모여라버거킹 SNS 이벤트 드로잉의 달인 진행,0
143,오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
144,버거킹 통모짜 시리즈 세 번째 비프칠리통모짜와퍼 출시,1
145,버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
146,버거킹 가을 맞아 와퍼주니어 1900원’ 할인 이벤트,0
147,버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
148,견다희의 Check EAT 맥도날드 맥윙 外,0
149,버거킹스크림몬스터x OK캐쉬백 오퀴즈 초성 퀴즈 정답은,0
150,버거킹 세 번째 통모짜 시리즈 출시,1
151,버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
152,견다희의 Check EAT 맥도날드 맥윙 外,0
153,버거킹 드로잉의 달인 SNS 이벤트 진행,0
154,치킨윙 매니아 주목” 버거킹 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
155,버거킹스크림몬스터x OK캐쉬백 오퀴즈 초성 퀴즈 정답은,0
156,버거킹 영국에서 플라스틱 장난감 지급 중단,-1
157,버거킹 올데이킹 리뉴얼 신메뉴 베이컨토마토비프버거’ 출시,1
158,버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
159,버거킹 단품 와퍼 39 할인 판매,0
160,버거킹 신제품 비프칠리통모짜와퍼 출시,1
161,버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
162,버거킹 단품 와퍼 39 할인 판매,0
163,버거킹 프리미엄 와퍼주니어 3종’ 할인 행사 실시,0
164,롯데 일본 버거킹 사업 정리1100억 손해보고 100억에 팔았다,0
165,신상품라운지버거킹 치킨윙 사이드 바삭킹 출시,1
166,버거킹 통모짜 3탄 비프칠리통모짜와퍼 2종 출시,1
167,롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
168,버거킹 와퍼주니어 1900원매장방문 고객 대상 할인행사,0
169,3대 버거 브랜드 불사조 메뉴는 무엇,0
170,버거킹 치킨윙 사이드 신메뉴 바삭킹 출시,1
171,롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
172,버거킹 와퍼 단품 3500원에 할인 판매 이벤트 진행,0
173,버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 각 2900원에 맛보세요,1
174,버거킹 비프칠리통모짜와퍼 출시,1
175,버거킹 와퍼주니어 1900원매장방문 고객 대상 할인행사,0
176,3대 버거 브랜드 불사조 메뉴는 무엇,0
177,9월 버거킹올데이킹리뉴얼 신메뉴베이컨토마토비프버거’ 선봬,1
178,오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
179,비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
180,3대 버거 브랜드 불사조 메뉴는 무엇,0
181,9월 버거킹올데이킹리뉴얼 신메뉴베이컨토마토비프버거’ 선봬,1
182,롯데 9년 만에 일본 버거킹 사업 매각,-1
183,오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
184,비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
185,버거킹 신메뉴 바삭킹 출시3가지 디핑소스 선보여,1
186,버거킹 와퍼 3500원에 판매일주일 한정,0
187,버거킹 전국 금손들 위한 드로잉의 달인 이벤트 진행,0
188,버거킹 통모짜 시리즈’ 마지막 제품 2종 출시,1
189,버거킹 바삭킹 토스 행운 퀴즈 등장 3가지 소스로 더욱 맛있게’,0
190,버거킹 와퍼 단품 3500원 할인 판매,0
191,버거킹 바삭킹 토스 행운 퀴즈 등장 3가지 소스로 더욱 맛있게’,0
192,롯데 日 버거킹 매각인수 후 매년 100억 적자,-1
193,˝많이 맵다˝ ˝라이스치킨 식감˝버거킹 바삭킹 리뷰 톺아보기,0
194,버거킹 8일까지 인기 버거 3종 50 할인,1
195,버거킹 2019 KSPBI 패스트푸드 부문 1위,1
196,신상품 버거킹 비프칠리통모짜,1
197,버거킹 카톡 플친 대상 치킨버거 3종 세트업 쿠폰증정 프로모션 실시,0
198,가심비 버거버거킹 프리미엄 와퍼주니어 3종 2900원 할인 판매,0
199,버거킹 전국 드로잉의 달인을 찾아라,0
200,프리미엄 와퍼주니어 3종이 각 2900원 버거킹 프로모션,0
201,버거킹 매콤 바삭 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
202,개강도 버거킹과 함께버거킹 7일 동안 인기 버거 반값 할인,1
203,프리미엄 햄버거 브랜드 버거킹 세트메뉴로 즐기는 치킨버거 프로모션 실시,0
204,버거킹 전국 드로잉의 달인을 찾아라,0
205,롯데 인수 9년 만에 일본 버거킹 매각,-1
206,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
207,오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
208,MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
209,LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
210,롯데 日 버거킹 인수 9년만에 100억에 매각,-1
211,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
212,버거킹 신메뉴 바삭킹 출시디핑소스·딜리버리팩도 선보여,1
213,버거킹 일주일간 버거 3종 50 할인 진행,0
214,오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
215,MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
216,LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
217,버거킹 한국표준협회 주관 2019 KSPBI 패스트푸드점 부문 1위 수상,1
218,버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 판매 실시,1
219,버거킹 프리미엄 핫도그 한정 출시,1
220,버거킹 인기 스페셜 버거 3종 50 할인,1
221,버거킹 한국표준협회 주관 2019 KSPBI 패스트푸드점 부문 1위 수상,1
222,버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 판매 실시,1
223,롯데 日 버거킹 사업 매각,-1
224,차원이 다른 바삭함···버거킹 바삭킹 전격 출시 가격은 얼마,1
225,버거킹 프리미엄 핫도그 한정 출시,1
226,롯데 日 버거킹 사업 철수외식사업 오점,0
227,버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트 진행,0
228,말이 안되는 가격버거킹 7일 동안 와퍼 3500원에 할인 판매,0
229,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위,1
230,롯데 日 버거킹 사업 철수외식사업 오점,0
231,버거킹 바삭킹 출시매콤·바삭한 치킨윙 사이드 메뉴,1
232,버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트 진행,0
233,버거킹 쟌슨빌과 손잡고 핫도그 2종 출시,1
234,말이 안되는 가격버거킹 7일 동안 와퍼 3500원에 할인 판매,0
235,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위,1
236,버거킹맥도날드 어린이 메뉴에 제공하는 플라스틱 장난감 퇴출,-1
237,롯데 日 버거킹 매각9년간 매년 100억 적자,-1
238,뉴스투데이 E 버거킹 프리미엄 와퍼주니어 3종 2900원에 판매,0
239,버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
240,롯데 日 버거킹 매각9년간 매년 100억 적자,-1
241,버거킹 다음달 1일까지 와퍼 단품 3500원’ 할인 이벤트,0
242,KFC보다 비싼 버거킹 바삭킹패스트푸드 닭날개 가성비 시험대,0
243,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
244,뉴스투데이 E 버거킹 프리미엄 와퍼주니어 3종 2900원에 판매,0
245,버거킹크라운 캠페인 감사 릴레이 이벤트 참여하면 다양한 경품이 팡팡,0
246,버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
247,버거킹 올데이킹 리뉴얼 및 베이컨토마토비프버거 선봬,0
248,신상품 동원FB 두툼 치즈 배스킨라빈스 허니레몬티 버거킹 바삭킹,1
249,버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
250,롯데 일 버거킹 인수 9년만에 100억에 매각,-1
251,버거킹 와퍼주니어 3종단품 2900원 판매,0
252,버거킹 2019년 프리미엄브랜드지수 패스트푸드점 부문 1위,1
253,버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
254,비프칠리 소스와 통모짜렐라 치즈의 만남버거킹 비프칠리통모짜와퍼 출시,1
255,영국 버거킹·맥도날드 플라스틱 장난감 제공 중단,-1
256,토스 버거킹 바삭킹 행운퀴즈 정답 공개···처음 느껴보는 바삭함,0
257,이번엔 핫도그다’ 버거킹 신메뉴 프리미엄 핫도그 2종 한정 출시,1
258,버거킹 세트 가격 4900원 올데이킹에 베이컨토마토비프버거 추가,0
259,버거킹 통모짜 시리즈 출시 3주 동안 100만개 판매,1
260,버거킹 바삭킹 토스 행운 퀴즈 등장정답은,0
261,버거킹 세트 가격 4900원 올데이킹에 베이컨토마토비프버거 추가,0
262,버거킹 통모짜 시리즈 출시 3주 동안 100만개 판매,1
263,버거킹 덕후들 깜짝 놀라게 만든 신상 사이드 메뉴가 나왔다,1
264,버거킹 7일간 와퍼 단품 3500원에 할인 판매,0
265,플라스틱 OUT 英 버거킹 장난감 녹이는 신규 캠페인 공개,0
266,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
267,광고랑 갭 쩌는 빈약한 실사로 출시 첫날부터 욕먹는 버거킹 핫도그 근황,1
268,英 버거킹 어린이 메뉴 구매 때 플라스틱 장난감 제공 중단,-1
269,버거킹 버거킹크라운 캠페인감사 릴레이 이벤트 진행,0
270,英 버거킹 어린이 메뉴 구매 때 플라스틱 장난감 제공 중단,-1
271,버거킹 바삭킹 토스 행운 퀴즈 □에 들어갈 정답은,0
272,버거킹 버거킹크라운 캠페인감사 릴레이 이벤트 진행,0
273,버거킹 프리미엄 와퍼 할인 프로모션 진행,0
274,버거킹 통모짜 시리즈’ 출시 3주만에 100만개 판매 돌파,1
275,지금 세계는 英 버거킹 플라스틱 장난감 제공 중단맥도날드도 동참,-1
276,버거킹 프리미엄 와퍼 할인 판매 실시,0
277,버거킹 바삭킹 출시 허브와 쌀가루의 조합’ 가격은,1
278,맥도날드 앞에서 버거킹 주문해봐”2019 부산국제광고제’ 그랑프리는,0
279,포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
280,버거킹 바삭킹 토스 행운 퀴즈정답 공개,0
281,포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
282,버거킹 통모짜와퍼 100만 소비자 울렸다100 이탈리아산 치즈는 왜 사라,0
283,롯데 100억원에 앓던 이 버거킹재팬 매각,-1
284,오늘12일 출시한 버거킹 핫도그 실제 후기 사진,1
285,버거킹x쟌슨빌 시즌 한정 스페셜 콜라보 진행,0
286,버거킹 16일부터 프리미어 와퍼 3종 3900원 판매 프로모션,0
287,버거킹 KSA 주관 프리미엄브랜드지수 시상식 패스트푸드점 부문 1위 수상,1
288,獨 버거킹 비트코인BTC 결제수단으로 추가,0
289,버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
290,버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
291,버거킹 카톡 플친 대상 몬스터X  몬스터와퍼 세트 업 쿠폰 증정,0
292,버거킹의 8월 이벤트 와퍼주니어’ 반값할인 1900원 판매 실시,0
293,버거킹 바삭킹 리뷰 속속생각보다 매콤 교촌 라이스치킨 연상,0
294,버거킹 가을 맞아 7일동안 프리미엄 와퍼 3종’ 3900원 판매,0
295,버거킹 콰트로치즈와퍼 할라피뇨와퍼 베이컨와퍼 단품이 7일 간 3900원,0
296,버거킹 카톡 플친 대상 치킨버거 3종 세트업 프로모션 진행,0
297,1등 버거버거킹 2019 프리미엄브랜드지수 패스트푸드 부문 1위 수상,1
298,이 맛에 통 못 자버거킹 통모짜 3주 만에 100만개 판매,0
299,버거킹 프리미엄 와퍼주니어 3종 각 2900원에 판매,0
300,이 맛에 통 못 자버거킹 통모짜 3주 만에 100만개 판매,0
301,뉴스투데이 E 버거킹 와퍼’ 7일 동안 3500원에 판매,0
302,버거킹 프리미엄 와퍼주니어 3종 각 2900원에 판매,0
303,버거킹 통모짜 시리즈 세 번째 비프칠리통모짜와퍼 출시,1
304,MT리포트공부한 죄로 금리 7 그렇게 신불자가 됐다,0
305,버거킹크라운 캠페인 감사 릴레이 이벤트에 시선 집중,0
306,역대급 콜라보”라는 말까지 듣고 있는 버거킹의 특별한 핫도그,0
307,버거킹 바삭킹 토스 행운퀴즈 등장빈칸넣기 정답은,0
308,버거킹 이탈리아산 치즈 강조했던 통모짜와퍼원산지 변경 논란,-1
309,버거킹 프리미엄 와퍼 3종3900원 할인판매,0
310,버거킹 이탈리아산 치즈 강조했던 통모짜와퍼원산지 변경 논란,-1
311,버거킹 통모짜’ 시리즈 출시 3주 만에 100만개 팔렸다,1
312,버거킹 프리미엄 와퍼 3종3900원 할인판매,0
313,NNA 롯데지주 일본 버거킹 매각,-1
314,버거킹에서 더위탈출” 버거킹 7일간 신메뉴 포함한 프리미엄 와퍼 3종 3,1
315,바르셀로나 노동위 버거킹 男넥타이·女리본 규정 성차별적,0
316,버거킹 쟌슨빌과 핫도그 2종 출시 정통 아메리칸 맛을 느껴보자’,1
317,버거킹 바삭킹 토스 행운퀴즈 정답은,0
318,버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
319,버거킹 신제품 트러플통모짜와퍼 선봬,1
320,버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
321,버거킹 신제품 트러플통모짜와퍼 선봬,1
322,버거킹 올데이킹 론칭 9개월간 누적 판매 1000만개,0
323,버거킹X쟌슨빌 시즌 한정 핫도그 출시,1
324,맥도날드도 식물성 고기 햄버거 시험판매 돌입”,0
325,버거킹 통모짜 시리즈’ 출시 3주만에 100만 개 판매 돌파,1
326,토스 버거킹 바삭킹 행운퀴즈 정답은,0
327,버거킹 차 안에서 만나는 통새우와퍼 2종 무료 세트업 이벤트,0
328,英 요식업계에도 플라스틱 프리 바람,0
329,버거킹 와퍼주니어 1900원 판매 실시방학의 마지막은 버거킹과,0
330,英 요식업계에도 플라스틱 프리 바람,0
331,버거킹 와퍼주니어 1900원 판매 실시방학의 마지막은 버거킹과,0
332,버거킹 트러플통모짜와퍼퍼트러플통모짜X 출시,1
333,버거킹 단 7일간 인기 스페셜 버거 3종 50 반값’ 할인,1
334,버거킹X쟌슨빌 시즌한정 스페셜 콜라보 진행 프리미엄 핫도그 출시,1
335,인증샷 남기면 경품이 쏟아진다 버거킹크라운 캠페인 감사 릴레이 이벤트 진,0
336,버거킹 마지막 늦더위도 잡는 시원한 할인 소식 단 일주일간 와퍼가 3500원,0
337,버거킹 바사삭 토스 행운퀴즈·깜짝퀴즈 정답은,0
338,버거킹 일주일간 프리미엄 와퍼 3종’ 3900원 판매,0
339,버거킹 8월 한 달간 통새우와퍼 2종 무료 세트업 이벤트 실시,0
340,버거킹넉넉하고풍성한 가을맞이 프리미엄 와퍼 3종’ 할인,0
341,버거킹 8월 한 달간 통새우와퍼 2종 무료 세트업 이벤트 실시,0
342,버거킹 8월 할인 프로모션 실시,0
343,버거킹 와퍼 7일간 3500원 판매,0
344,버거킹과 쟌슨빌의 콜라보 정통 아메리칸 스타일 핫도그 2종 한정 판매,0
345,버거킹·블랭크 에디션 그랑프리 영예 부산국제광고제 24일 폐막,0
346,버거킹 버거킹크라운 릴레이 이벤트 진행소비자 참여형 캠페인,0
347,롯데 日 버거킹 100억에 매각 9년간 매년 100억 적자,-1
348,뜨는 별 vs 지는 별햄버거 업계 춘추전국시대,0
349,버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만 개 돌파,1
350,버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만 개 돌파,1
351,버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
352,버거킹 쟌슨빌 손잡고 신메뉴 프리미엄 핫도그 2종 한정 출시,1
353,버거킹 감사 릴레이 이벤트 진행,0
354,유통 신템’8월 3주 버거킹 쟌슨빌과 손잡고 핫도그 신메뉴 2종 한정 출,1
355,롯데 日 버거킹 매각 9년간 매년 100억 적자”,-1
356,성수기 8월 맞아 버거킹 등 국내 대표 햄버거 프랜차이즈 다양한 이벤트 선보,0
357,버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
358,토스 행운퀴즈 버거킹 바삭킹 계속 끌리는 매콤한 맛 □□□□ 소스 정답,0
359,프리미엄 햄버거 브랜드 버거킹 몬스터 시리즈 세트 업 쿠폰 이벤트 실시,0
360,버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
361,버거킹 핫도그 2종 출시쟌슨빌과 콜라보한 정통 미국식,1
